Strategy,DiscCosts,DiscQALYs
0,6347620.047,1287580188
1,12567725.71,1288246879
2,23216860.67,1288246879
3,31459251.09,1288263095
4,47621321.46,1288269434
5,52855951.68,1288265863
6,59398792.11,1288280959
7,75408838.36,1288280078
8,76351264.99,1288274813
9,81546827.87,1288289376
10,87962759.71,1288289449
11,98611765.67,1288289450
12,106854762.8,1288305667
13,118501715.8,1288309082
14,123736197.7,1288305512
15,130279598.2,1288320607
16,142881709.6,1288307826
17,145336235.1,1288319106
18,146278403.4,1288313843
19,151474451.1,1288328404
20,153530951.4,1288307826
21,161774320.4,1288324040
22,170132382.5,1288326185
23,175366756.3,1288322614
24,181910564.8,1288337710
25,196272635.3,1288335944
26,197214670,1288330678
27,202411183.2,1288345242
